LPI_Rank,LPI_Round_Pick,Player_Name,Position,Pos_Rank,Team,LPI_Predicted_PPG,Pos_Replacement_PPG,Projected_VORP_Per_Game,Projected_Season_VORP,Consensus_ADP_Rank,Consensus_ADP_Round_Pick,LPI_vs_ADP_Diff,Prospective_Grade_at_ADP
109,10.01,Keenan Allen,WR,WR32,LAC,9.32,8.7782,0.54,8.6,137,12.05,28,82
110,10.02,Courtland Sutton,WR,WR33,DEN,9.29,8.7782,0.51,8.2,52,5.04,-58,52
111,10.03,Jerry Jeudy,WR,WR34,CLE,9.27,8.7782,0.49,7.8,77,7.05,-34,63
112,10.04,Jake Ferguson,TE,TE17,DAL,7.05,6.5682,0.48,7.7,122,11.02,10,58
113,10.05,Calvin Ridley,WR,WR35,TEN,9.17,8.7782,0.39,6.2,66,6.06,-47,54
114,10.06,Deebo Samuel Sr.,WR,WR36,SF,9.13,8.7782,0.35,5.6,83,7.11,-31,67
115,10.07,Xavier Worthy,WR,WR37,KC,9.12,8.7782,0.34,5.4,56,5.08,-59,51
116,10.08,Tyjae Spears,RB,RB44,TEN,8.28,7.9497,0.33,5.3,162,14.06,46,79
117,10.09,Cooper Kupp,WR,WR38,SEA,9.1,8.7782,0.32,5.1,100,9.04,-17,68
118,10.10,Michael Pittman Jr.,WR,WR39,PIT,9.0,8.7782,0.22,3.5,119,10.11,1,74
119,10.11,Jayden Reed,WR,WR40,GB,8.92,8.7782,0.14,2.2,116,10.08,-3,72
120,10.12,Quentin Johnston,WR,WR41,LAC,8.91,8.7782,0.13,2.1,259,22.07,139,86
121,11.01,Jauan Jennings,WR,WR42,MIN,8.87,8.7782,0.09,1.4,103,9.07,-18,67
122,11.02,Khalil Shakir,WR,WR43,BUF,8.8,8.7782,0.02,0.3,106,9.10,-16,67
123,11.03,Austin Ekeler,RB,RB45,,7.93,7.9497,-0.02,-0.3,Unranked,N/A,0,50
124,11.04,Darnell Mooney,WR,WR44,NYG,8.67,8.7782,-0.11,-1.8,146,13.02,22,79
125,11.05,Stefon Diggs,WR,WR45,,8.59,8.7782,-0.19,-3.0,85,8.01,-40,61
126,11.06,Jaylen Waddle,WR,WR46,DEN,8.55,8.7782,-0.23,-3.7,69,6.09,-57,47
127,11.07,Jordan Mason,RB,RB46,MIN,7.62,7.9497,-0.33,-5.3,84,7.12,-43,47
128,11.08,Jaylen Warren,RB,RB47,PIT,7.59,7.9497,-0.36,-5.8,81,7.09,-47,46
129,11.09,Rico Dowdle,RB,RB48,PIT,7.59,7.9497,-0.36,-5.8,166,14.10,37,73
130,11.10,Josh Downs,WR,WR47,IND,8.41,8.7782,-0.37,-5.9,123,11.03,-7,70
131,11.11,Rashod Bateman,WR,WR48,BAL,8.39,8.7782,-0.39,-6.2,173,15.05,42,82
132,11.12,Rashee Rice,WR,WR49,KC,8.28,8.7782,-0.5,-8.0,72,6.12,-60,47
133,12.01,Jerome Ford,RB,RB49,WAS,7.41,7.9497,-0.54,-8.6,138,12.06,5,72
134,12.02,Isiah Pacheco,RB,RB50,DET,7.37,7.9497,-0.58,-9.3,59,5.11,-75,40
135,12.03,Brandon Aiyuk,WR,WR50,SF,8.13,8.7782,-0.65,-10.4,145,13.01,10,72
136,12.04,Dallas Goedert,TE,TE18,PHI,5.85,6.5682,-0.72,-11.5,134,12.02,-2,42
137,12.05,Nick Chubb,RB,RB51,,7.19,7.9497,-0.76,-12.2,117,10.09,-20,69
138,12.06,Travis Hunter,WR,WR51,JAC,7.98,8.7782,-0.8,-12.8,71,6.11,-67,41
139,12.07,Jonnu Smith,TE,TE19,,5.77,6.5682,-0.8,-12.8,139,12.07,0,42
140,12.08,Rome Odunze,WR,WR52,CHI,7.93,8.7782,-0.85,-13.6,78,7.06,-62,48
141,12.09,DeMario Douglas,WR,WR53,NE,7.91,8.7782,-0.87,-13.9,219,19.03,78,77
142,12.10,Chris Olave,WR,WR54,NO,7.78,8.7782,-1.0,-16.0,76,7.04,-66,42
143,12.11,Zach Ertz,TE,TE20,,5.56,6.5682,-1.01,-16.2,156,13.12,13,42
144,12.12,Kenneth Walker III,RB,RB52,KC,6.84,7.9497,-1.11,-17.8,41,4.05,-103,19
145,13.01,Jacory Croskey-Merritt,RB,RB53,WAS,6.81,7.9497,-1.14,-18.2,99,9.03,-46,44
146,13.02,Chig Okonkwo,TE,TE21,WAS,5.43,6.5682,-1.14,-18.2,161,14.05,15,42
147,13.03,Brenton Strange,TE,TE22,JAC,5.28,6.5682,-1.29,-20.6,179,15.11,32,43
148,13.04,Isaiah Likely,TE,TE23,NYG,5.12,6.5682,-1.45,-23.2,185,16.05,37,43
